,label_fr,description,description_tokens,description_wosw,description_lemmas,simple,simple_tokens,simple_wosw,simple_lemmas,fautes,fautes_tokens,fautes_wosw,fautes_lemmas
693,typhoïde,"J'ai beaucoup de ballonnements et de constipation, ce qui est vraiment douloureux. Il y a beaucoup de pression et de douleur dans la région de l'estomac. J'ai une forte fièvre et des frissons chaque nuit.","J' ai beaucoup de ballonnements et de constipation , ce qui est vraiment douloureux . Il y a beaucoup de pression et de douleur dans la région de l' estomac . J' ai une forte fièvre et des frissons chaque nuit .","beaucoup ballonnements constipation , vraiment douloureux . beaucoup pression douleur région estomac . forte fièvre frissons nuit .","je avoir beaucoup de ballonnement et de constipation , ce qui être vraiment douloureux . il y avoir beaucoup de pression et de douleur dans le région de le estomac . je avoir un fort fièvre et de frisson chaque nuit .","J'ai beaucoup de ballonnements et de constipation, ce qui est vraiment douloureux. J'ai beaucoup de pression et de douleur dans le ventre. J'ai une forte fièvre et des frissons chaque nuit.","J' ai beaucoup de ballonnements et de constipation , ce qui est vraiment douloureux . J' ai beaucoup de pression et de douleur dans le ventre . J' ai une forte fièvre et des frissons chaque nuit .","beaucoup ballonnements constipation , vraiment douloureux . beaucoup pression douleur ventre . forte fièvre frissons nuit .","je avoir beaucoup de ballonnement et de constipation , ce qui être vraiment douloureux . je avoir beaucoup de pression et de douleur dans le ventre . je avoir un fort fièvre et de frisson chaque nuit .","J'ai beaucou de baloneman et de constipasion, ce qui est vréman douloureu. J'ai beaucou de presion et de douleur dans le ventre. J'ai une forte fiévre et des frison chaqu nuit.","J' ai beaucou de baloneman et de constipasion , ce qui est vréman douloureu . J' ai beaucou de presion et de douleur dans le ventre . J' ai une forte fiévre et des frison chaqu nuit .","beaucou baloneman constipasion , vréman douloureu . beaucou presion douleur ventre . forte fiévre frison chaqu nuit .","je avoir beaucou de baloneman et de constipasion , ce qui être vréman douloureu . je avoir beaucou de presion et de douleur dans le ventre . je avoir un fort fiévre et de frison chaqu nuit ."
361,réaction médicamenteuse,"Je perds mes cheveux, et la texture de mes cheveux a beaucoup changé. Mon cuir chevelu sec et qui démange, ainsi que mes pellicules, s'aggravent. Ma peau devient également très sèche.","Je perds mes cheveux , et la texture de mes cheveux a beaucoup changé . Mon cuir chevelu sec et qui démange , ainsi que mes pellicules , s' aggravent . Ma peau devient également très sèche .","perds cheveux , texture cheveux beaucoup changé . cuir chevelu sec démange , pellicules , aggravent . peau devient sèche .","je perdre mon cheveu , et le texture de mon cheveu avoir beaucoup changer . mon cuir chevelu sec et qui démanger , ainsi que mon pellicule , se aggraver . mon peau devenir également très sec .","Je perds mes cheveux, et la texture de mes cheveux a beaucoup changé. Mon cuir chevelu est sec et me démange, et j'ai des pellicules. Ma peau devient aussi très sèche.","Je perds mes cheveux , et la texture de mes cheveux a beaucoup changé . Mon cuir chevelu est sec et me démange , et j' ai des pellicules . Ma peau devient aussi très sèche .","perds cheveux , texture cheveux beaucoup changé . cuir chevelu sec démange , pellicules . peau devient sèche .","je perdre mon cheveu , et le texture de mon cheveu avoir beaucoup changer . mon cuir chevelu être sec et me démange , et je avoir un pellicule . mon peau devenir aussi très sec .","Je per mes cheveu, et la texture de mes cheveu a beaucoup changé. Mon cuir chevelu est sec et me démange, et j'ai des pellicule. Ma peau devien aussi tré séche.","Je per mes cheveu , et la texture de mes cheveu a beaucoup changé . Mon cuir chevelu est sec et me démange , et j' ai des pellicule . Ma peau devien aussi tré séche .","per cheveu , texture cheveu beaucoup changé . cuir chevelu sec démange , pellicule . peau devien tré séche .","je per mon cheveu , et le texture de mon cheveu avoir beaucoup changer . mon cuir chevelu être sec et me démange , et je avoir un pellicule . mon peau devien aussi trer séch ."
266,dengue,"J'ai développé une éruption cutanée qui couvre tout mon corps et qui est accompagnée de démangeaisons intenses. J'ai des douleurs corporelles et une légère fièvre, accompagnée de maux de tête et de frissons.","J' ai développé une éruption cutanée qui couvre tout mon corps et qui est accompagnée de démangeaisons intenses . J' ai des douleurs corporelles et une légère fièvre , accompagnée de maux de tête et de frissons .","développé éruption cutanée couvre corps accompagnée démangeaisons intenses . douleurs corporelles légère fièvre , accompagnée maux tête frissons .","je avoir développer un éruption cutané qui couvrir tout mon corps et qui être accompagner de démangeaison intense . je avoir un douleur corporel et un léger fièvre , accompagner de mal de tête et de frisson .","J'ai des boutons partout sur le corps et ça me démange beaucoup. J'ai mal partout et une petite fièvre, avec des maux de tête et des frissons.","J' ai des boutons partout sur le corps et ça me démange beaucoup . J' ai mal partout et une petite fièvre , avec des maux de tête et des frissons .","boutons partout corps démange beaucoup . mal partout petite fièvre , maux tête frissons .","je avoir un bouton partout sur le corps et cela me démange beaucoup . je avoir mal partout et un petit fièvre , avec un mal de tête et de frisson .","J'ai des bouton par tou sur le corps et ça me démange beaucoup. J'ai mal par tou et une petite fièvre, avec des maux de tête et des frison.","J' ai des bouton par tou sur le corps et ça me démange beaucoup . J' ai mal par tou et une petite fièvre , avec des maux de tête et des frison .","bouton tou corps démange beaucoup . mal tou petite fièvre , maux tête frison .","je avoir un bouton par tou sur le corps et cela me démange beaucoup . je avoir mal par tou et un petit fièvre , avec un mal de tête et de frison ."
90,asthme bronchique,"Je me sens extrêmement épuisé et j'ai cette toux persistante. J'ai du mal à reprendre mon souffle, et ma fièvre est très élevée. J'ai aussi produit beaucoup de mucus quand je tousse.","Je me sens extrêmement épuisé et j' ai cette toux persistante . J' ai du mal à reprendre mon souffle , et ma fièvre est très élevée . J' ai aussi produit beaucoup de mucus quand je tousse .","sens extrêmement épuisé toux persistante . mal reprendre souffle , fièvre élevée . produit beaucoup mucus tousse .","je me sentir extrêmement épuiser et je avoir ce toux persistante . je avoir de mal à reprendre mon souffle , et mon fièvre être très élevé . je avoir aussi produire beaucoup de mucus quand je tousser .",Je suis très fatigué et j'ai une toux qui ne veut pas partir. J'ai du mal à respirer et j'ai beaucoup de fièvre. Je crache aussi beaucoup de mucus quand je tousse.,Je suis très fatigué et j' ai une toux qui ne veut pas partir . J' ai du mal à respirer et j' ai beaucoup de fièvre . Je crache aussi beaucoup de mucus quand je tousse .,fatigué toux veut partir . mal respirer beaucoup fièvre . crache beaucoup mucus tousse .,je être très fatiguer et je avoir un toux qui ne vouloir pas partir . je avoir de mal à respirer et je avoir beaucoup de fièvre . je cracher aussi beaucoup de mucus quand je tousser .,Je sui tré fatigué et j'ai une tou qui veut pas partir. J'ai du mal à respiré et j'ai beaucou de fièvre. Je crache aussi beaucou de mucus quand je tousse.,Je sui tré fatigué et j' ai une tou qui veut pas partir . J' ai du mal à respiré et j' ai beaucou de fièvre . Je crache aussi beaucou de mucus quand je tousse .,sui tré fatigué tou veut partir . mal respiré beaucou fièvre . crache beaucou mucus tousse .,je sui trer fatiguer et je avoir un tou qui vouloir pas partir . je avoir de mal à respiré et je avoir beaucou de fièvre . je cracher aussi beaucou de mucus quand je tousser .
368,réaction médicamenteuse,"Quand j'ai de la fièvre, je me sens assez nauséeux et étourdi. Mon cœur bat très fort, et mon esprit est complètement embrumé. Tout me semble un peu flou, et j'ai du mal à penser clairement.","Quand j' ai de la fièvre , je me sens assez nauséeux et étourdi . Mon cœur bat très fort , et mon esprit est complètement embrumé . Tout me semble un peu flou , et j' ai du mal à penser clairement .","fièvre , sens nauséeux étourdi . cœur fort , esprit complètement embrumé . flou , mal penser clairement .","quand je avoir de le fièvre , je me sentir assez nauséeux et étourdi . mon cœur battre très fort , et mon esprit être complètement embrumer . tout me sembler un peu flou , et je avoir de mal à penser clairement .","Quand j'ai de la fièvre, je me sens malade et étourdi. Mon cœur bat très fort, et mon esprit est tout embrouillé. Tout me semble un peu flou, et j'ai du mal à penser clairement.","Quand j' ai de la fièvre , je me sens malade et étourdi . Mon cœur bat très fort , et mon esprit est tout embrouillé . Tout me semble un peu flou , et j' ai du mal à penser clairement .","fièvre , sens malade étourdi . cœur fort , esprit embrouillé . flou , mal penser clairement .","quand je avoir de le fièvre , je me sentir malade et étourdi . mon cœur battre très fort , et mon esprit être tout embrouiller . tout me sembler un peu flou , et je avoir de mal à penser clairement .","Quand j'ai de la fièvre, je me sen malade et étourdi. Mon cœur bat tré fort, et mon esprit est tou embrouillé. Tou me semble un peu flou, et j'ai du mal à penser clairement.","Quand j' ai de la fièvre , je me sen malade et étourdi . Mon cœur bat tré fort , et mon esprit est tou embrouillé . Tou me semble un peu flou , et j' ai du mal à penser clairement .","fièvre , sen malade étourdi . cœur tré fort , esprit tou embrouillé . Tou flou , mal penser clairement .","quand je avoir de le fièvre , je me sen malade et étourdi . mon cœur battre tré fort , et mon esprit être tou embrouiller . tou me sembler un peu flou , et je avoir de mal à penser clairement ."
575,ulcère gastroduodénal,"Je perds du poids sans le vouloir et j'ai du mal à le reprendre. Pour soulager la douleur et l'inconfort que je ressens, je prends des antiacides. Ma bouche me fait très mal en ce moment.","Je perds du poids sans le vouloir et j' ai du mal à le reprendre . Pour soulager la douleur et l' inconfort que je ressens , je prends des antiacides . Ma bouche me fait très mal en ce moment .","perds poids vouloir mal reprendre . soulager douleur inconfort ressens , prends antiacides . bouche mal moment .","je perdre de poids sans le vouloir et je avoir de mal à le reprendre . pour soulager le douleur et le inconfort que je ressentir , je prendre de antiacide . mon bouche me faire très mal en ce moment .","Je perds du poids sans le vouloir et j'ai du mal à le reprendre. Pour soulager la douleur et l'inconfort, je prends des médicaments. Ma bouche me fait très mal en ce moment.","Je perds du poids sans le vouloir et j' ai du mal à le reprendre . Pour soulager la douleur et l' inconfort , je prends des médicaments . Ma bouche me fait très mal en ce moment .","perds poids vouloir mal reprendre . soulager douleur inconfort , prends médicaments . bouche mal moment .","je perdre de poids sans le vouloir et je avoir de mal à le reprendre . pour soulager le douleur et le inconfort , je prendre de médicament . mon bouche me faire très mal en ce moment .","Je per du pois san le vouloir et j'ai du mal a le reprendre. Pour soulagé la douleur et l'inconfort, je pren des médicament. Ma bouche me fais tré mal en ce moment.","Je per du pois san le vouloir et j' ai du mal a le reprendre . Pour soulagé la douleur et l' inconfort , je pren des médicament . Ma bouche me fais tré mal en ce moment .","per pois san vouloir mal reprendre . soulagé douleur inconfort , pren médicament . bouche tré mal moment .","je per de pois san le vouloir et je avoir de mal avoir le reprendre . pour soulager le douleur et le inconfort , je pren un médicament . mon bouche me faire trer mal en ce moment ."
158,varicelle,Les démangeaisons m'empêchent de dormir la nuit. Je ne peux pas me reposer. J'ai aussi perdu l'appétit et je me sens léthargique.,Les démangeaisons m' empêchent de dormir la nuit . Je ne peux pas me reposer . J' ai aussi perdu l' appétit et je me sens léthargique .,démangeaisons empêchent dormir nuit . reposer . perdu appétit sens léthargique .,le démangeaison me empêcher de dormir le nuit . je ne pouvoir pas me reposer . je avoir aussi perdre le appétit et je me sentir léthargique .,Les démangeaisons m'empêchent de dormir la nuit. Je ne peux pas me reposer. J'ai aussi perdu l'appétit et je me sens léthargique.,Les démangeaisons m' empêchent de dormir la nuit . Je ne peux pas me reposer . J' ai aussi perdu l' appétit et je me sens léthargique .,démangeaisons empêchent dormir nuit . reposer . perdu appétit sens léthargique .,le démangeaison me empêcher de dormir le nuit . je ne pouvoir pas me reposer . je avoir aussi perdre le appétit et je me sentir léthargique .,Les démangeaisons m'empêchent de dormir la nuit. Je ne peux pas me reposer. J'ai aussi perdu l'appétit et je me sens léthargique.,Les démangeaisons m' empêchent de dormir la nuit . Je ne peux pas me reposer . J' ai aussi perdu l' appétit et je me sens léthargique .,démangeaisons empêchent dormir nuit . reposer . perdu appétit sens léthargique .,le démangeaison me empêcher de dormir le nuit . je ne pouvoir pas me reposer . je avoir aussi perdre le appétit et je me sentir léthargique .
69,arthrite,"Mes muscles sont assez faibles récemment, mais mon cou est très raide. Mes articulations sont enflées, ce qui rend difficile pour moi de bouger. Marcher est aussi extrêmement difficile.","Mes muscles sont assez faibles récemment , mais mon cou est très raide . Mes articulations sont enflées , ce qui rend difficile pour moi de bouger . Marcher est aussi extrêmement difficile .","muscles faibles récemment , cou raide . articulations enflées , difficile bouger . Marcher extrêmement difficile .","Mes muscle être assez faible récemment , mais mon cou être très raide . mon articulation être enfler , ce qui rendre difficile pour moi de bouger . Marcher être aussi extrêmement difficile .","Mes muscles sont assez faibles récemment, mais mon cou est très raide. Mes articulations sont gonflées, ce qui rend dur de bouger. Marcher est aussi très difficile.","Mes muscles sont assez faibles récemment , mais mon cou est très raide . Mes articulations sont gonflées , ce qui rend dur de bouger . Marcher est aussi très difficile .","muscles faibles récemment , cou raide . articulations gonflées , dur bouger . Marcher difficile .","Mes muscle être assez faible récemment , mais mon cou être très raide . mon articulation être gonfler , ce qui rendre dur de bouger . Marcher être aussi très difficile .","Mes musclé son assez faible récement, mais mon cou est tré raide. Mes articulation son gonflé, ce qui rend dur de bouger. Marcher est aussi tré difficile.","Mes musclé son assez faible récement , mais mon cou est tré raide . Mes articulation son gonflé , ce qui rend dur de bouger . Marcher est aussi tré difficile .","musclé faible récement , cou tré raide . articulation gonflé , dur bouger . Marcher tré difficile .","Mes musclé son assez faible récement , mais mon cou être trer raide . mon articulation son gonflé , ce qui rendre dur de bouger . Marcher être aussi tré difficile ."
710,varices,Je me sens constamment fatigué et j’ai des crampes fréquentes. Mes jambes sont enflées et mes veines sont très visibles sur mes mollets. J’ai également des ecchymoses et je suis en surpoids.,Je me sens constamment fatigué et j’ ai des crampes fréquentes . Mes jambes sont enflées et mes veines sont très visibles sur mes mollets . J’ ai également des ecchymoses et je suis en surpoids .,sens constamment fatigué crampes fréquentes . jambes enflées veines visibles mollets . ecchymoses surpoids .,je me sentir constamment fatiguer et j’ avoir un crampe fréquent . mon jambe être enfler et mon veine être très visible sur mon mollet . j’ avoir également un ecchymose et je être en surpoids .,Je suis tout le temps fatigué et j’ai souvent des crampes. Mes jambes sont gonflées et on voit beaucoup mes veines sur mes mollets. J’ai des bleus et je suis en surpoids.,Je suis tout le temps fatigué et j’ ai souvent des crampes . Mes jambes sont gonflées et on voit beaucoup mes veines sur mes mollets . J’ ai des bleus et je suis en surpoids .,temps fatigué crampes . jambes gonflées voit beaucoup veines mollets . bleus surpoids .,je être tout le temps fatiguer et j’ avoir souvent un crampe . mon jambe être gonfler et on voir beaucoup mon veine sur mon mollet . J’ avoir un bleu et je être en surpoids .,Je sui tou le tan fatigué et j’ai souvan des crampes. Mes jambe son gonflé et on voi bocou mes veine sur mes molé. J’ai des bleu et je sui en surpoi.,Je sui tou le tan fatigué et j’ ai souvan des crampes . Mes jambe son gonflé et on voi bocou mes veine sur mes molé . J’ ai des bleu et je sui en surpoi .,sui tou tan fatigué souvan crampes . jambe gonflé voi bocou veine molé . bleu sui surpoi .,je sui tou le tan fatiguer et j’ avoir souvan un crampe . mon jambe son gonflé et on voi bocou mon veine sur mon molé . J’ avoir un bleu et je sui en surpoi .
131,spondylose cervicale,"J'ai eu des douleurs dans le dos, une toux sèche et des raideurs dans les bras et les jambes. J'ai eu des problèmes pour rester équilibré et j'ai ressenti des vertiges, et mon cou me fait mal.","J' ai eu des douleurs dans le dos , une toux sèche et des raideurs dans les bras et les jambes . J' ai eu des problèmes pour rester équilibré et j' ai ressenti des vertiges , et mon cou me fait mal .","douleurs dos , toux sèche raideurs bras jambes . problèmes rester équilibré ressenti vertiges , cou mal .","je avoir avoir un douleur dans le dos , un toux sec et un raideur dans le bras et le jambe . je avoir avoir un problème pour rester équilibré et je avoir ressentir un vertige , et mon cou me faire mal .","J'ai mal au dos, je tousse sans arrêt et mes bras et jambes sont raides. J'ai du mal à rester équilibré et je me sens étourdi, et mon cou me fait mal.","J' ai mal au dos , je tousse sans arrêt et mes bras et jambes sont raides . J' ai du mal à rester équilibré et je me sens étourdi , et mon cou me fait mal .","mal dos , tousse arrêt bras jambes raides . mal rester équilibré sens étourdi , cou mal .","je avoir mal au dos , je tousser sans arrêt et mon bras et jambe être raider . je avoir de mal à rester équilibré et je me sentir étourdi , et mon cou me faire mal .","J'ai mal au dos, je tousse sans arret et mes bras et jambe son raide. J'ai du mal a resté équilibré et je me sen étourdi, et mon cou me fais mal.","J' ai mal au dos , je tousse sans arret et mes bras et jambe son raide . J' ai du mal a resté équilibré et je me sen étourdi , et mon cou me fais mal .","mal dos , tousse arret bras jambe raide . mal resté équilibré sen étourdi , cou mal .","je avoir mal au dos , je tousser sans arret et mon bras et jambe son raide . je avoir de mal avoir rester équilibré et je me sen étourdi , et mon cou me faire mal ."
